,name,author,image
0,The Great Gatsby,F. Scott Fitzgerald,great-gatsby.jpg
1,Ulysses,James Joyce,ulysses.jpg
2,The Catcher in the Rye,J. D. Salinger,catcher-in-the-rye.jpg
3,Nineteen Eighty Four,George Orwell,nineteen-eighty-four.jpg
4,In Search of Lost Time,Marcel Proust,in-search-of-lost-time.jpg
5,One Hundred Years of Solitude,Gabriel García Márquez,one-hundred-years-of-solitude.jpg
6,Lolita,Vladimir Nabokov,lolita.jpg
7,Moby-Dick,Herman Melville,moby-dick.jpg
8,Pride and Prejudice,Jane Austen,pride-and-prejudice.jpg
9,Wuthering Heights,Emily Brontë,wuthering-heights.jpg
10,Don Quixote,Miguel de Cervantes,don-quixote.jpg
11,To Kill a Mockingbird,Harper Lee,to-kill-a-mockingbird.jpg
12,Crime and Punishment,Fyodor Dostoevsky,crime-and-punishment.jpg
13,Anna Karenina,Leo Tolstoy,anna-karenina.jpg
14,The Grapes of Wrath,John Steinbeck,grapes-of-wrath.jpg
15,War and Peace,Leo Tolstoy,war-and-peace.jpg
16,Madame Bovary,Gustave Flaubert,madame-bovary.jpg
17,The Lord of the Rings,J. R. R. Tolkien,lord-of-the-rings.jpg
18,The Sound and the Fury,William Faulkner,sound-and-the-fury.jpg
19,Adventures of Huckleberry Finn,Mark Twain,adventures-of-huckleberry-finn.jpg
20,Middlemarch,George Eliot,middlemarch.jpg
21,Alice's Adventures in Wonderland,Lewis Carroll,alices-adventures-in-wonderland.jpg
22,Jane Eyre,Charlotte Brontë,jane-eyre.jpg
23,Heart of Darkness,Joseph Conrad,heart-of-darkness.jpg
24,The Divine Comedy,Dante Alighieri,divine-comedy.jpg
25,Catch-22,Joseph Heller,catch-22.jpg
26,The Odyssey,Homer,odyssey.jpg
27,Invisible Man,Ralph Ellison,invisible-man.jpg
28,The Stranger,Albert Camus,stranger.jpg
29,The Brothers Karamazov,Fyodor Dostoevsky,brothers-karamazov.jpg
30,Frankenstein,Mary Shelley,frankenstein.jpg
31,Great Expectations,Charles Dickens,great-expectations.jpg
32,The Bible,Unknown,bible.jpg
